Title,Corp,Condition,Location,Tag,Link
자율주행 및 환경차(EV/FCEV등) Virtual Simulation (신입/경력),아이피지오토모티브코리아(유),신입·경력대졸↑정규직,서울송파구,"기술연구, 자율주행, 메카트로닉스, 자동차, 연구원 외 수정일 22/10/30",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44246334
[EAN테크놀로지] 친환경 관련 인증 및 계획 컨설턴트,(주)이에이엔테크놀로지,경력무관대졸↑정규직·계약직,서울강남구,"건축가, 기계기사, 환경설계, 건축설비, 소음/진동 외 등록일 22/10/25",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44284032
(주)스튜디오미르 2022년 하반기 공개채용 3D 부문,(주)스튜디오미르,경력무관학력무관정규직,서울금천구,"애니메이션, 3D디자인, 모델링, 합성, CG 외 등록일 22/11/04",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44366910
R&D 연구직 신입/경력/병역특례 채용,(주)코맥스,신입·경력초대졸↑정규직,경기성남시 중원구,"연구원, R&D, 전자 수정일 22/11/11",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44414239
(주) 브이에이모팩 프로젝트 아티스트 채용,(주)브이에이모팩,경력무관학력무관정규직,경기하남시,"영화기획, 영화미술, 영화제작, 영상제작, 영상편집 외 등록일 22/11/09",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44397128
[SML제니트리] 2022 수시채용 (시약생산/연구개발/PCR/BI),주식회사 에스엠엘제니트리,경력무관대졸↑정규직,서울송파구,"연구원, R&D, 생명과학, 임상개발, 제약/바이오 외 수정일 22/11/08",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44348026
[500만의 선택 데이트팝] 부산 정규직 로컬 매니저 모집 (영업),(주)텐핑거스,경력무관학력무관정규직,부산해운대구,"영업직, 광고영업, 가맹점영업, 기업영업, 매체영업 외 수정일 22/10/17",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44125456
2022 하반기 IT개발·데이터 신입사원 모집,주식회사 오비시스,신입고졸↑정규직·계약직240 이상 (면접 후 협의),서울구로구,"Python, Java, 웹개발, 유지보수, 반응형웹 외 수정일 22/11/11",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44407487
상품추천 솔루션 웹서비스 프로덕트 디자이너(UI/UX),(주)샐러드랩,경력무관학력무관정규직,서울강남구,"그래픽디자인, 디지털디자인, 모바일디자인, 시각디자인, 앱디자인 외 등록일 22/10/31",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44322675
Data Engineer,듀폰코리아(주),경력2년↑대졸↑정규직,충남천안시,"유해화학물질, 이화학시험, 품질검사원, 공정엔지니어, 기술엔지니어 외 수정일 22/10/20",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44248002
[500만의 선택 데이트팝] 대구 정규직 신입 로컬 매니저 모집,(주)텐핑거스,경력무관학력무관정규직,대구중구,"영업관리, 영업직, 광고영업, 제약영업, 가맹점관리 외 등록일 22/10/17",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44220587
Business Analyst 경력직 채용,피에트,경력 3~7년고졸↑정규직,서울강남구,"경영기획, 사업기획, 서비스기획, 전략기획, 경영컨설팅 외 수정일 22/11/07",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44380514
[미디어엘] 신입 / 경력 분야별 인재를 모십니다.,(주)미디어엘,경력무관학력무관정규직,서울강서구,"영화기획, 영화미술, 영화제작, 영화, CG 외 수정일 22/09/21",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44034804
"(주)알엠소프트 Java, 클라우드 개발자 모집",(주)알엠소프트,경력무관학력무관정규직·계약직,대전서구,"Java, AWS, 웹개발, SI개발, 웹표준·웹접근성 외 수정일 22/11/08",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44369278
